age,r,a,b,c,value
32,0.944128729174566,1,0,0,1.08372618222248
31,0.268938234066265,0,1,1,0.189009499045161
23,0.604935601742614,1,1,0,9.93380710467003
22,0.088048892001026,0,1,1,6.42840982899609
24,0.308008170182308,1,1,1,2.35804138518442
36,0.301760581130359,0,1,1,0.188558120887596
39,0.338548380297498,1,1,1,35.4464850226308
37,0.07754585371961,0,1,1,10.2543579604262
27,0.192722817399997,1,0,1,2.19661169827854
31,0.679142716473889,1,1,0,5.54071663906365
28,0.807720645583374,1,1,0,26.8080446899331
24,0.705354451233769,1,1,0,0.136917345798057
47,0.335647314527648,0,0,1,0.261783200807714
33,0.932080197279733,1,0,0,1.97805047333668
23,0.022266903487193,0,0,1,5.82875492710983
30,0.372198089588195,0,0,1,1.84927237324573
49,0.617017151047759,1,0,0,0.544612339665053
40,0.936911204117546,1,0,0,4.79250734887225
38,0.635506213237181,1,1,0,0.041926385478544
21,0.560125072607873,0,0,0,1.09143236098086
46,0.922414752643125,0,0,0,6.08851000436828
34,0.25260904054887,1,1,1,30.1337964380227
47,0.273788460442555,1,1,1,0.573024451044867
40,0.381762246332674,1,0,1,75.8570129579293
35,0.164796096802891,0,0,1,0.864320530269328
20,0.093581302681101,0,0,1,59.6923728101083
43,0.82891684275175,1,0,0,0.109880912285463
24,0.98675535576724,1,0,0,1.13488841267789
30,0.058545310728659,0,1,1,1.52437669828587
46,0.919472537551327,1,0,0,13.3030546118812
49,0.999966844488203,1,0,0,2.72566546069951
27,0.713155064943538,1,0,0,0.391395019291817
30,0.926284431653786,0,0,0,0.435960931356888
41,0.115295899827681,0,1,1,1.09921555602904
20,0.520404510867005,1,1,0,1.9880819091965
46,0.532991511159685,0,1,0,2.26803964606852
50,0.791958953405554,1,1,0,3.27722114589167
25,0.829252681261872,1,0,0,8.22644533266592
33,0.990769212370724,1,0,0,10.7876729457744
31,0.133032534774964,0,1,1,1.10017224385087
21,0.372634128053139,1,1,1,724.434089192476
